id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD0002:dnaN	94	5.7999e-53	1.1897e-06	0.000124	1	70	-0.72158	0.97916	0.98427	1.0	3503	7	0.20334
RVBD0058:dnaB	93	4.8122e-37	1.1897e-06	0.000124	2	63	-0.55945	0.75515	0.80243	1.0	2290	6	0.30112
RVBD2095c:pafC	14	7.6116e-32	1.1897e-06	0.000124	3	14	-1.5198	1.0	1.0	1.0	3976	0	0
RVBD2592c:ruvB	40	1.4908e-28	1.1897e-06	0.000124	4	27	-1.5743	1.0	1.0	1.0	3972	0	0
RVBD2594c:ruvC	22	4.3713e-28	1.1897e-06	0.000124	5	20	-1.2105	0.99998	0.99985	1.0	3962	0	0
RVBD3362c:RVBD3362c	8	4.9819e-27	1.1897e-06	0.000124	6	8	-3.4945	1.0	1.0	1.0	3980	0	0
RVBD2737c:recA	14	2.4077e-26	1.1897e-06	0.000124	7	14	-1.3564	1.0	1.0	1.0	3983	0	0
RVBD1402:priA	171	8.0225e-26	1.1897e-06	0.000124	8	87	-0.38049	0.99513	0.99671	1.0	3765	15	0.18629
RVBD1547:dnaE1	167	4.2239e-25	1.1897e-06	0.000124	9	85	-0.42761	0.11948	0.18693	1.0	688	24	0.24859
RVBD3201c:RVBD3201c	18	1.5743e-24	1.1897e-06	0.000124	10	18	-0.77267	1.0	1.0	1.0	3984	0	0
RVBD2593c:ruvA	50	1.4895e-23	1.1897e-06	0.000124	11	24	-1.3528	0.33665	0.43418	1.0	1227	11	0.209
RVBD2097c:pafA	10	2.9043e-23	1.1897e-06	0.000124	12	10	-1.5604	1.0	1.0	1.0	3985	0	0
RVBD3202c:RVBD3202c	9	1.0235e-21	1.1897e-06	0.000124	13	9	-1.1215	1.0	1.0	1.0	3986	0	0
RVBD2524c:fas	328	1.6062e-18	1.1897e-06	0.000124	14	128	-0.29356	0.0022516	0.0081081	0.139412	211	29	0.19895
RVBD3363c:RVBD3363c	6	6.9479e-18	1.1897e-06	0.000124	15	6	-1.444	1.0	1.0	1.0	3981	0	0
RVBD2096c:pafB	6	1.1624e-17	1.1897e-06	0.000124	16	6	-1.6374	1.0	1.0	1.0	3982	0	0
RVBD3361c:RVBD3361c	5	1.9566e-16	1.1897e-06	0.000124	17	5	-3.3037	1.0	1.0	1.0	3979	0	0
RVBD3715c:recR	6	2.5744e-16	1.1897e-06	0.000124	18	6	-1.6518	1.0	1.0	1.0	3978	0	0
RVBD2925c:rnc	56	7.8237e-16	1.1897e-06	0.000124	19	33	-0.64203	0.98649	0.99043	1.0	3604	3	0.24746
